,mean,std
DemQ02,31.848484848484848,11.028715961415262
G01Q31,7.0,9.802741963348826
DemG055[SQ001],4.212121212121212,7.5073196604945815
DemG055[SQ002],3.242424242424242,3.391444226195374
GTCQ01[SQ004],3.696969696969697,1.334279966987075
GTCQ01[SQ005],3.878787878787879,1.111237366564176
interviewtime,1285.3124242424242,2134.066866771093
